IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
ROSA,KOBIETA,317
ABIGAIL,KOBIETA,315
ELLA,KOBIETA,311
LUCIA,KOBIETA,311
FILIPINA,KOBIETA,308
CYRYLA,KOBIETA,308
MARTHA,KOBIETA,308
ALICIA,KOBIETA,306
LARA,KOBIETA,306
OTOLIA,KOBIETA,305
JENNIFER,KOBIETA,303
IDALIA,KOBIETA,299
HELEN,KOBIETA,295
LUKRECJA,KOBIETA,294
LEONORA,KOBIETA,294
LESŁAWA,KOBIETA,294
ZOJA,KOBIETA,292
DALIA,KOBIETA,289
DŻESIKA,KOBIETA,284
DOBROCHNA,KOBIETA,284
MONICA,KOBIETA,283
ZBIGNIEWA,KOBIETA,283
ANASTASIA,KOBIETA,283
EMILA,KOBIETA,277
JOLENTA,KOBIETA,276
KARIN,KOBIETA,275
KASANDRA,KOBIETA,271
EDMUNDA,KOBIETA,270
MARTINA,KOBIETA,270
KRISTINA,KOBIETA,270
MICHAELA,KOBIETA,268
NIKOL,KOBIETA,268
BIBIANNA,KOBIETA,267
NICOL,KOBIETA,261
HIERONIMA,KOBIETA,258
KAUR,KOBIETA,257
LILY,KOBIETA,257
ISABELLE,KOBIETA,256
DOBROMIŁA,KOBIETA,256
JOSEPHINE,KOBIETA,255
RUT,KOBIETA,254
INGEBORGA,KOBIETA,253
BENITA,KOBIETA,252
RYTA,KOBIETA,250
DOLORES,KOBIETA,250
NAOMI,KOBIETA,250
SIMONA,KOBIETA,249
JOY,KOBIETA,247
BEATRIZ,KOBIETA,246
JULITTA,KOBIETA,245
LUISA,KOBIETA,244
MARITA,KOBIETA,241
MIŁOSŁAWA,KOBIETA,241
NUR,KOBIETA,240
ALEJANDRA,KOBIETA,238
ZOE,KOBIETA,233
LYNN,KOBIETA,232
BOGDA,KOBIETA,232
RACHEL,KOBIETA,231
FRANCESCA,KOBIETA,231
MAJKA,KOBIETA,229
HALSZKA,KOBIETA,229
WALBURGA,KOBIETA,228
WŁODZIMIERA,KOBIETA,227
EUNIKA,KOBIETA,225
IZOLDA,KOBIETA,222
KATHERINE,KOBIETA,221
ADOLFINA,KOBIETA,220
EUZEBIA,KOBIETA,220
HERTA,KOBIETA,219
LISA,KOBIETA,219
EUFROZYNA,KOBIETA,218
STEPHANIE,KOBIETA,217
LUNA,KOBIETA,217
ALOJZJA,KOBIETA,216
MIRANDA,KOBIETA,215
KORDULA,KOBIETA,213
ELZBIETA,KOBIETA,213
VIOLETA,KOBIETA,212
PAOLA,KOBIETA,211
MARINA,KOBIETA,210
ANIKA,KOBIETA,209
KONRADA,KOBIETA,208
CLAIRE,KOBIETA,207
RAFAELA,KOBIETA,207
REBEKA,KOBIETA,207
GABRIELLA,KOBIETA,207
ANA,KOBIETA,205
AURELA,KOBIETA,204
FRIEDA,KOBIETA,203
MARGARITA,KOBIETA,203
MARIA TERESA,KOBIETA,203
LEE,KOBIETA,202
SATURNINA,KOBIETA,202
GUSTAWA,KOBIETA,201
HEDWIG,KOBIETA,195
KLOTYLDA,KOBIETA,195
ANICETA,KOBIETA,194
RACHELA,KOBIETA,193
ALMA,KOBIETA,193
LEOPOLDA,KOBIETA,193
ŻANETTA,KOBIETA,193
LIVIA,KOBIETA,192
WIERA,KOBIETA,190
INKA,KOBIETA,188
URSULA,KOBIETA,188
VALENTINA,KOBIETA,188
SYLVIA,KOBIETA,188
DAGNA,KOBIETA,187
LORA,KOBIETA,185
KSYMENA,KOBIETA,185
ADOLFA,KOBIETA,184
DIONIZA,KOBIETA,183
HANNAH,KOBIETA,183
FRYDA,KOBIETA,183
DEBORA,KOBIETA,183
THERESA,KOBIETA,182
HILDA,KOBIETA,182
JULIANA,KOBIETA,182
ARIADNA,KOBIETA,181
ESTHER,KOBIETA,181
KRYSPINA,KOBIETA,180
JASMIN,KOBIETA,180
JANA,KOBIETA,180
EDITH,KOBIETA,178
MAY,KOBIETA,177
CLARA,KOBIETA,177
IRMGARD,KOBIETA,176
ELISA,KOBIETA,175
KATE,KOBIETA,175
MELISA,KOBIETA,174
LUCJANNA,KOBIETA,174
DORIS,KOBIETA,174
HELENE,KOBIETA,174
LAURENCJA,KOBIETA,173
FELICYTA,KOBIETA,173
PIA,KOBIETA,173
JACQUELINE,KOBIETA,172
CECILIA,KOBIETA,171
DENISE,KOBIETA,168
ARIANA,KOBIETA,165
JASMINA,KOBIETA,165
MILA,KOBIETA,164
ANIDA,KOBIETA,163
PRZEMYSŁAWA,KOBIETA,162
JEAN,KOBIETA,161
ANGELICA,KOBIETA,161
DĄBRÓWKA,KOBIETA,161
AIDA,KOBIETA,160
MARGARETE,KOBIETA,160
LETYCJA,KOBIETA,159
GERARDA,KOBIETA,158
FRANCES,KOBIETA,158
ASTRID,KOBIETA,157
LUDOMIŁA,KOBIETA,157
MAE,KOBIETA,157
HILDEGARD,KOBIETA,156
WERA,KOBIETA,156
ANH,KOBIETA,155
JUDITH,KOBIETA,155
FLORA,KOBIETA,154
IWONKA,KOBIETA,154
ZYGFRYDA,KOBIETA,154
KAREN,KOBIETA,154
MALGORZATA,KOBIETA,153
SOFIE,KOBIETA,151
SELENA,KOBIETA,150
ROXANA,KOBIETA,150
THERESE,KOBIETA,149
DORA,KOBIETA,149
LUCJANA,KOBIETA,149
HERONIMA,KOBIETA,149
KRYSTIANA,KOBIETA,149
LILLY,KOBIETA,148
KARMEN,KOBIETA,148
FRIDA,KOBIETA,148
ESTER,KOBIETA,147
BEATRYCZE,KOBIETA,146
MARIETA,KOBIETA,146
SYLWINA,KOBIETA,145
BIANCA,KOBIETA,144
LUCY,KOBIETA,144
ORIANA,KOBIETA,142
SAMANTHA,KOBIETA,141
FLORIANNA,KOBIETA,140
LILI,KOBIETA,139
ILZA,KOBIETA,138
ARKADIA,KOBIETA,137
HANA,KOBIETA,137
BELLA,KOBIETA,137
TOLA,KOBIETA,137
NELLY,KOBIETA,136
ANNA MARIA,KOBIETA,133
AFRODYTA,KOBIETA,133
NIKOLETTA,KOBIETA,133
NATHALIE,KOBIETA,133
GERTRUD,KOBIETA,131
JESICA,KOBIETA,131
ANDŻELINA,KOBIETA,131
MELISSA,KOBIETA,131
MARIA MAGDALENA,KOBIETA,130
LEOPOLDYNA,KOBIETA,130
ROZWITA,KOBIETA,129
ŚWIĘTOSŁAWA,KOBIETA,129
ANDRZELIKA,KOBIETA,128
KLEOPATRA,KOBIETA,127
KIRA,KOBIETA,127
LUBA,KOBIETA,127
JESIKA,KOBIETA,126
LUISE,KOBIETA,125
OLENA,KOBIETA,124
ELLEN,KOBIETA,124
DAMIANA,KOBIETA,123
INGRIDA,KOBIETA,122
JOLA,KOBIETA,122
MELANIE,KOBIETA,122
STELA,KOBIETA,121
RAQUEL,KOBIETA,121
FABIOLA,KOBIETA,121
REBECCA,KOBIETA,121
PAULINE,KOBIETA,121
FERNANDA,KOBIETA,121
EVE,KOBIETA,121
JULIE,KOBIETA,120
LORENA,KOBIETA,120
YVONNE,KOBIETA,120
SUSAN,KOBIETA,119
KAMILIA,KOBIETA,119
ADELINA,KOBIETA,119
LUDGARDA,KOBIETA,118
CHLOE,KOBIETA,117
AMY,KOBIETA,117
JASMINE,KOBIETA,117
ERWINA,KOBIETA,115
WALTRAUD,KOBIETA,114
AMBER,KOBIETA,113
ZYGMUNTA,KOBIETA,113
MARGOTA,KOBIETA,113
RENEE,KOBIETA,112
IRIS,KOBIETA,112
VIRGINIA,KOBIETA,112
ISMENA,KOBIETA,112
SUZANNE,KOBIETA,111
CARLA,KOBIETA,111
WIEŃCZYSŁAWA,KOBIETA,111
WISŁAWA,KOBIETA,111
SUSANA,KOBIETA,110
LAILA,KOBIETA,110
SIMONE,KOBIETA,110
ELISE,KOBIETA,110
SILVIA,KOBIETA,110
IWETTA,KOBIETA,110
PETRA,KOBIETA,110
WALTRAUDA,KOBIETA,110
ATENA,KOBIETA,109
RAJMUNDA,KOBIETA,109
BRIGITTE,KOBIETA,108
